dataset,n_base,dim,metric,family,build_params,query_param,k,is_default,recall_id,recall_tieaware,latency_median_ms,latency_p95_ms,build_seconds,memory_mb,repeat
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 16, ""efConstruction"": 200}",256,10,0,0.999,0.999,0.6211,0.7454,89.29,129.6,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 16, ""efConstruction"": 200}",512,10,0,0.99933,0.99933,1.1038,1.3316,89.29,129.6,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 16, ""efConstruction"": 200}",512,10,0,0.99933,0.99933,1.1035,1.2901,89.29,129.6,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 16, ""efConstruction"": 200}",512,10,0,0.99933,0.99933,1.1056,1.3421,89.29,129.6,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",10,10,0,0.79767,0.798,0.0594,0.1084,108.86,155.2,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",10,10,0,0.79767,0.798,0.0593,0.1078,108.86,155.2,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",10,10,0,0.79767,0.798,0.0586,0.11,108.86,155.2,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",16,10,0,0.876,0.87633,0.083,0.1286,108.86,155.2,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",16,10,0,0.876,0.87633,0.0865,0.1402,108.86,155.2,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",16,10,0,0.876,0.87633,0.0848,0.1327,108.86,155.2,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",32,10,0,0.962,0.96233,0.1438,0.1974,108.86,155.2,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",32,10,0,0.962,0.96233,0.1425,0.2025,108.86,155.2,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",32,10,0,0.962,0.96233,0.1456,0.2056,108.86,155.2,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",64,10,0,0.99233,0.99233,0.2596,0.337,108.86,155.2,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",64,10,0,0.99233,0.99233,0.263,0.3357,108.86,155.2,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",64,10,0,0.99233,0.99233,0.2594,0.3435,108.86,155.2,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",128,10,0,0.99933,0.99933,0.4527,0.5835,108.86,155.2,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",128,10,0,0.99933,0.99933,0.4575,0.5763,108.86,155.2,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",128,10,0,0.99933,0.99933,0.4543,0.5734,108.86,155.2,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",256,10,0,1.0,1.0,0.8059,0.9867,108.86,155.2,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",256,10,0,1.0,1.0,0.7954,1.0046,108.86,155.2,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",256,10,0,1.0,1.0,0.8157,1.0353,108.86,155.2,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",512,10,0,1.0,1.0,1.4472,1.7808,108.86,155.2,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",512,10,0,1.0,1.0,1.4522,1.8042,108.86,155.2,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 32, ""efConstruction"": 200}",512,10,0,1.0,1.0,1.4645,1.7958,108.86,155.2,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",10,10,0,0.83333,0.834,0.0709,0.1263,216.94,180.8,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",10,10,0,0.83333,0.834,0.0715,0.1325,216.94,180.8,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",10,10,0,0.83333,0.834,0.0708,0.1211,216.94,180.8,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",16,10,0,0.906,0.907,0.0974,0.157,216.94,180.8,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",16,10,0,0.906,0.907,0.1012,0.1566,216.94,180.8,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",16,10,0,0.906,0.907,0.0991,0.1571,216.94,180.8,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",32,10,0,0.976,0.97633,0.1676,0.2344,216.94,180.8,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",32,10,0,0.976,0.97633,0.1777,0.236,216.94,180.8,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",32,10,0,0.976,0.97633,0.1776,0.2461,216.94,180.8,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",64,10,0,0.99567,0.99567,0.3258,0.5566,216.94,180.8,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",64,10,0,0.99567,0.99567,0.302,0.4026,216.94,180.8,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",64,10,0,0.99567,0.99567,0.3122,0.4122,216.94,180.8,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",128,10,0,0.99967,0.99967,0.5283,0.6891,216.94,180.8,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",128,10,0,0.99967,0.99967,0.5677,0.9318,216.94,180.8,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",128,10,0,0.99967,0.99967,0.5473,0.7137,216.94,180.8,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 48, ""efConstruction"": 400}",256,10,0,1.0,1.0,0.927,1.1767,216.94,180.8,0
