loaded glove-100-angular: base=(200000, 100) queries=(300, 100) metric=angular
glove-100-angular IVF-PQ {'nlist': 4096, 'm': 10, 'nbits': 8} qp=4 r1 rec=0.2597 med=0.107ms
glove-100-angular IVF-PQ {'nlist': 4096, 'm': 10, 'nbits': 8} qp=4 r2 rec=0.2597 med=0.107ms
glove-100-angular IVF-PQ {'nlist': 4096, 'm': 10, 'nbits': 8} qp=8 r0 rec=0.2783 med=0.115ms
glove-100-angular IVF-PQ {'nlist': 4096, 'm': 10, 'nbits': 8} qp=8 r1 rec=0.2783 med=0.114ms
glove-100-angular IVF-PQ {'nlist': 4096, 'm': 10, 'nbits': 8} qp=8 r2 rec=0.2783 med=0.108ms
glove-100-angular IVF-PQ {'nlist': 4096, 'm': 10, 'nbits': 8} qp=16 r0 rec=0.2957 med=0.124ms
glove-100-angular IVF-PQ {'nlist': 4096, 'm': 10, 'nbits': 8} qp=16 r1 rec=0.2957 med=0.125ms
glove-100-angular IVF-PQ {'nlist': 4096, 'm': 10, 'nbits': 8} qp=16 r2 rec=0.2957 med=0.123ms
glove-100-angular IVF-PQ {'nlist': 4096, 'm': 10, 'nbits': 8} qp=64 r0 rec=0.3097 med=0.200ms
glove-100-angular IVF-PQ {'nlist': 4096, 'm': 10, 'nbits': 8} qp=64 r1 rec=0.3097 med=0.199ms
glove-100-angular IVF-PQ {'nlist': 4096, 'm': 10, 'nbits': 8} qp=64 r2 rec=0.3097 med=0.199ms
glove-100-angular IVF-PQ {'nlist': 4096, 'm': 10, 'nbits': 8} qp=128 r0 rec=0.3103 med=0.283ms
glove-100-angular IVF-PQ {'nlist': 4096, 'm': 10, 'nbits': 8} qp=128 r1 rec=0.3103 med=0.288ms
glove-100-angular IVF-PQ {'nlist': 4096, 'm': 10, 'nbits': 8} qp=128 r2 rec=0.3103 med=0.287ms
