dataset,n_base,dim,metric,family,build_params,query_param,k,is_default,recall,recall_id,recall_std,latency_ms,latency_ms_std,latency_p95_ms,build_seconds,memory_mb
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",16,10,0,0.93233,0.93233,0.0,1.3059,0.008982204629154288,1.5611666666666668,0.28,81.64
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",32,10,0,0.98033,0.98033,0.0,2.5964,0.037959583770110224,2.926766666666667,0.28,81.64
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",64,10,0,0.99667,0.99667,0.0,5.224066666666666,0.034260813378163175,5.696166666666667,0.28,81.64
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",128,10,0,1.0,1.0,0.0,7.8188666666666675,0.19505061736209242,8.376900000000001,0.28,81.64
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",1,10,0,0.3353300000000001,0.3353300000000001,0.0,0.03506666666666667,0.00020816659994661216,0.06203333333333333,5.63,82.01
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",2,10,0,0.45767,0.45767,0.0,0.04346666666666666,0.0003511884584284207,0.07179999999999999,5.63,82.01
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",4,10,0,0.579,0.579,0.0,0.06233333333333333,0.0011015141094572207,0.10423333333333333,5.63,82.01
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",8,10,0,0.681,0.681,0.0,0.09816666666666667,0.001320353488022552,0.1429,5.63,82.01
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",16,10,0,0.77033,0.77033,0.0,0.17076666666666665,0.001814754345175502,0.22799999999999998,5.63,82.01
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",32,10,0,0.84567,0.84567,0.0,0.31243333333333334,0.005259594407683281,0.39080000000000004,5.63,82.01
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",64,10,0,0.907,0.907,0.0,0.5729000000000001,0.0093546779741475,0.6947666666666666,5.63,82.01
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",128,10,0,0.9573300000000001,0.9573300000000001,0.0,1.0765666666666667,0.004908496035786613,1.2838333333333332,5.63,82.01
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",1,10,0,0.262,0.262,0.0,0.09293333333333333,0.005873102530463205,0.1373,21.42,83.24
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",2,10,0,0.37467,0.37467,0.0,0.09036666666666666,0.0003785938897200147,0.13246666666666665,21.42,83.24
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",4,10,0,0.468,0.468,0.0,0.09856666666666668,0.0007637626158259725,0.1423,21.42,83.24
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",8,10,0,0.579,0.579,0.0,0.1145,0.0017349351572897489,0.15916666666666668,21.42,83.24
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",16,10,0,0.67867,0.67867,0.0,0.1415,0.0010583005244258338,0.1926,21.42,83.24
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",32,10,0,0.75967,0.75967,0.0,0.19393333333333332,0.003955165398985657,0.24683333333333335,21.42,83.24
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",64,10,0,0.83867,0.83867,0.0,0.30346666666666666,0.0125786856759096,0.3759666666666666,21.42,83.24
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",128,10,0,0.89067,0.89067,0.0,0.4788666666666667,0.007077664398184844,0.585,21.42,83.24
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 10, ""nbits"": 8, ""nlist"": 1024}",1,10,0,0.20033,0.20033,0.0,0.04586666666666667,0.00015275252316519753,0.07986666666666666,12.300000000000002,4.01
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 10, ""nbits"": 8, ""nlist"": 1024}",2,10,0,0.242,0.242,0.0,0.04873333333333333,5.7735026918964726e-05,0.08093333333333334,12.300000000000002,4.01
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 10, ""nbits"": 8, ""nlist"": 1024}",4,10,0,0.265,0.265,0.0,0.056799999999999996,0.0010148891565092263,0.09436666666666667,12.300000000000002,4.01
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 10, ""nbits"": 8, ""nlist"": 1024}",8,10,0,0.27533,0.27533,0.0,0.07186666666666668,0.0027610384519838435,0.1099,12.300000000000002,4.01
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 10, ""nbits"": 8, ""nlist"": 1024}",16,10,0,0.285,0.285,0.0,0.09823333333333334,0.0014047538337136967,0.13703333333333334,12.300000000000002,4.01
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 10, ""nbits"": 8, ""nlist"": 1024}",64,10,0,0.291,0.291,0.0,0.2648333333333333,0.005000333322222949,0.31803333333333333,12.300000000000002,4.01
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 10, ""nbits"": 8, ""nlist"": 1024}",128,10,0,0.29233,0.29233,0.0,0.46226666666666666,0.001497776129244071,0.5265666666666666,12.300000000000002,4.01
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 10, ""nbits"": 8, ""nlist"": 4096}",1,10,0,0.17833,0.17833,0.0,0.10206666666666668,0.00015275252316519072,0.1457,27.69,5.24
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 10, ""nbits"": 8, ""nlist"": 4096}",2,10,0,0.235,0.235,0.0,0.10303333333333335,0.00032145502536643313,0.1474,27.69,5.24
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 10, ""nbits"": 8, ""nlist"": 4096}",4,10,0,0.25967,0.25967,0.0,0.10693333333333332,0.0001527525231651911,0.15126666666666666,27.69,5.24
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 10, ""nbits"": 8, ""nlist"": 4096}",8,10,0,0.27833,0.27833,0.0,0.1124,0.003726929030716843,0.15903333333333333,27.69,5.24
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 10, ""nbits"": 8, ""nlist"": 4096}",16,10,0,0.29567,0.29567,0.0,0.12373333333333332,0.0009609023536933038,0.17183333333333337,27.69,5.24
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 10, ""nbits"": 8, ""nlist"": 4096}",64,10,0,0.30967,0.30967,0.0,0.1994,0.0007000000000000062,0.27386666666666665,27.69,5.24
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 10, ""nbits"": 8, ""nlist"": 4096}",128,10,0,0.31033,0.31033,0.0,0.28613333333333335,0.0026312227829154585,0.3556333333333333,27.69,5.24
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",1,10,1,0.128,0.128,0.0,0.038766666666666665,5.773502691896323e-05,0.0673,10.07,3.01
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",2,10,0,0.14267,0.14267,0.0,0.04156666666666667,0.00030550504633038557,0.07853333333333333,10.07,3.01
