dataset,n_base,dim,metric,family,build_params,query_param,k,is_default,recall_id,recall_tieaware,latency_median_ms,latency_p95_ms,build_seconds,memory_mb,repeat
glove-100-angular,200000,100,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",512,10,0,0.96167,0.96167,1.1646,1.4812,95.52,107.2,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",512,10,0,0.96167,0.96167,1.1432,1.3832,95.52,107.2,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",10,10,0,0.607,0.607,0.0734,0.116,149.27,132.8,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",10,10,0,0.607,0.607,0.0721,0.1175,149.27,132.8,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",10,10,0,0.607,0.607,0.0736,0.1176,149.27,132.8,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",16,10,0,0.684,0.684,0.0998,0.1547,149.27,132.8,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",16,10,0,0.684,0.684,0.1029,0.1667,149.27,132.8,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",16,10,0,0.684,0.684,0.0988,0.1565,149.27,132.8,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",32,10,0,0.791,0.791,0.1629,0.2293,149.27,132.8,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",32,10,0,0.791,0.791,0.1612,0.2359,149.27,132.8,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",32,10,0,0.791,0.791,0.1594,0.2356,149.27,132.8,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",64,10,0,0.867,0.867,0.2883,0.3838,149.27,132.8,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",64,10,0,0.867,0.867,0.2957,0.3818,149.27,132.8,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",64,10,0,0.867,0.867,0.2882,0.3779,149.27,132.8,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",128,10,0,0.931,0.931,0.5368,0.6638,149.27,132.8,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",128,10,0,0.931,0.931,0.5304,0.6654,149.27,132.8,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",128,10,0,0.931,0.931,0.5191,0.6499,149.27,132.8,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",256,10,0,0.97067,0.97067,1.0494,1.7257,149.27,132.8,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",256,10,0,0.97067,0.97067,0.9955,1.306,149.27,132.8,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",256,10,0,0.97067,0.97067,0.9772,1.1838,149.27,132.8,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",512,10,0,0.99133,0.99133,1.8386,2.2192,149.27,132.8,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",512,10,0,0.99133,0.99133,1.8843,2.2383,149.27,132.8,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",512,10,0,0.99133,0.99133,1.8717,2.2663,149.27,132.8,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",10,10,0,0.64033,0.64033,0.0894,0.1484,336.91,158.4,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",10,10,0,0.64033,0.64033,0.0886,0.1421,336.91,158.4,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",10,10,0,0.64033,0.64033,0.0962,0.1516,336.91,158.4,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",16,10,0,0.72167,0.72167,0.1309,0.2128,336.91,158.4,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",16,10,0,0.72167,0.72167,0.132,0.2179,336.91,158.4,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",16,10,0,0.72167,0.72167,0.1311,0.1972,336.91,158.4,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",32,10,0,0.81967,0.81967,0.2136,0.2878,336.91,158.4,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",32,10,0,0.81967,0.81967,0.2189,0.2883,336.91,158.4,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",32,10,0,0.81967,0.81967,0.2137,0.2945,336.91,158.4,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",64,10,0,0.903,0.903,0.3809,0.4716,336.91,158.4,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",64,10,0,0.903,0.903,0.3755,0.4854,336.91,158.4,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",64,10,0,0.903,0.903,0.3853,0.4887,336.91,158.4,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",128,10,0,0.959,0.959,0.7243,0.8827,336.91,158.4,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",128,10,0,0.959,0.959,0.7228,0.8873,336.91,158.4,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",128,10,0,0.959,0.959,0.7126,0.876,336.91,158.4,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",256,10,0,0.98433,0.98433,1.3274,1.59,336.91,158.4,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",256,10,0,0.98433,0.98433,1.3454,1.6204,336.91,158.4,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",256,10,0,0.98433,0.98433,1.3324,1.6174,336.91,158.4,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",512,10,0,0.99733,0.99733,2.6455,4.0426,336.91,158.4,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",512,10,0,0.99733,0.99733,2.6143,3.0757,336.91,158.4,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",512,10,0,0.99733,0.99733,2.4908,2.9808,336.91,158.4,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",1,10,1,0.50067,0.50067,0.1038,0.1891,0.28,81.64,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",1,10,1,0.50067,0.50067,0.1091,0.1955,0.28,81.64,1
